PROVINCIA,CIUDAD
AZUAY,SUSUDEL
AZUAY,CHORDELEG
AZUAY,PRINCIPAL
AZUAY,LA UNION
AZUAY,LUIS GALARZA ORELLANA (CAB.EN DELEGSOL) 
AZUAY,SAN MARTIN DE PUZHIO
AZUAY, EL PAN
AZUAY,SAN VICENTE
AZUAY, SEVILLA DE ORO
AZUAY,AMALUZA
AZUAY,PALMAS
AZUAY, GUACHAPALA
AZUAY,CAMILO PONCE ENRIQUEZ
BOLIVAR, GUARANDA
BOLIVAR,FACUNDO VELA
BOLIVAR,JULIO E. MORENO (CATANAHUAN GRANDE)
BOLIVAR,SALINAS
BOLIVAR,SAN LORENZO
BOLIVAR,SAN SIMON (YACOTO)
BOLIVAR,SANTAFE (SANTA FE)
BOLIVAR,SIMIATUG
BOLIVAR,SAN LUIS DE PAMBIL
BOLIVAR, CHILLANES
BOLIVAR,SAN JOSE DEL TAMBO (TAMBOPAMBA)
BOLIVAR,SAN JOSE DE CHIMBO
BOLIVAR,ASUNCION (ASANCOTO) 
BOLIVAR,MAGDALENA (CHAPACOTO)
BOLIVAR,SAN SEBASTIAN
BOLIVAR,TELIMBELA
BOLIVAR, ECHEANDIA
BOLIVAR,SAN MIGUEL
BOLIVAR,BALSAPAMBA
BOLIVAR,BILOVAN
BOLIVAR,REGULO DE MORA
BOLIVAR,SAN PABLO  (SAN PABLO DE ATENAS)
BOLIVAR,SANTIAGO
BOLIVAR,SAN VICENTE
BOLIVAR, CALUMA 
BOLIVAR, LAS NAVES
 CAÑAR,AZOGUES
 CAÑAR,COJITAMBO
 CAÑAR,GUAPAN
 CAÑAR,JAVIER LOYOLA (CHUQUIPATA) 
 CAÑAR,LUIS CORDERO
 CAÑAR,PINDILIG
 CAÑAR,RIVERA
 CAÑAR,SAN MIGUEL
 CAÑAR,TADAY
 CAÑAR, BIBLIAN
 CAÑAR,NAZON (CAB. EN PAMPA DE DOMINGUEZ)
 CAÑAR,SAN FRANCISCO DE SAGEO
 CAÑAR,TURUPAMBA
 CAÑAR,JERUSALEN
 CAÑAR,CAÑAR
 CAÑAR,CHONTAMARCA
 CAÑAR,CHOROCOPTE
 CAÑAR,GENERAL MORALES (SOCARTE) 
 CAÑAR,GUALLETURO
 CAÑAR,HONORATO VASQUEZ (TAMBO VIEJO) 
 CAÑAR,INGAPIRCA
 CAÑAR,JUNCAL
 CAÑAR,SAN ANTONIO
 CAÑAR,ZHUD
 CAÑAR,VENTURA
 CAÑAR,DUCUR
 CAÑAR, LA TRONCAL
 CAÑAR,MANUEL J. CALLE
 CAÑAR,PANCHO NEGRO
 CAÑAR,EL TAMBO 
 CAÑAR, DELEG
 CAÑAR,SOLANO
 CAÑAR,SUSCAL
CARCHI, TULCAN
CARCHI,EL CARMELO (EL PUN) 
CARCHI,JULIO ANDRADE (OREJUELA) 
CARCHI,MALDONADO
CARCHI,PIOTER
CARCHI,TOBAR DONOSO (LA BOCANA DE CAMUMBI) 
CARCHI,TUFIÑO
CARCHI,URBINA (TAYA)
CARCHI,EL CHICAL
CARCHI,SANTA MARTHA DE CUBA
CARCHI, BOLIVAR
CARCHI,GARCIA MORENO
CARCHI,LOS ANDES
CARCHI,MONTE OLIVO
CARCHI,SAN VICENTE DE PUSIR
CARCHI,SAN RAFAEL
CARCHI,EL ANGEL
CARCHI,EL GOALTAL
CARCHI,LA LIBERTAD (ALIZO)
CARCHI,SAN ISIDRO
CARCHI,MIRA (CHONTAHUASI)
CARCHI,CONCEPCION
CARCHI,JIJON Y CAAMAÑO (CAB. EN RIO BLANCO)
CARCHI,JUAN MONTALVO (SAN IGNACIO DE QUIL)
CARCHI,SAN GABRIEL
CARCHI,CRISTOBAL COLON
CARCHI,CHITAN DE NAVARRETE
CARCHI,FERNANDEZ SALVADOR
CARCHI,LA PAZ
CARCHI,PIARTAL
CARCHI,HUACA
CARCHI,MARISCAL SUCRE
 COTOPAXI,LATACUNGA
 COTOPAXI,ALAQUES (ALAQUEZ) 
 COTOPAXI,BELISARIO QUEVEDO (GUANAILIN)
 COTOPAXI,GUAITACAMA (GUAYTACAMA) 
 COTOPAXI,JOSEGUANGO BAJO
 COTOPAXI,MULALO
 COTOPAXI,11 DE NOVIEMBRE (ILINCHISI)
 COTOPAXI,POALO
 COTOPAXI,SAN JUAN DE PASTOCALLE
 COTOPAXI,TANICUCHI
 COTOPAXI,TOACASO
 COTOPAXI,LA MANA
 COTOPAXI,GUASAGANDA (CAB.EN GUASAGANDA CENTRO)
 COTOPAXI,PUCAYACU
 COTOPAXI,EL CORAZON
 COTOPAXI,MORASPUNGO
 COTOPAXI,PINLLOPATA
 COTOPAXI,RAMON CAMPAÑA
 COTOPAXI,PUJILI
 COTOPAXI,ANGAMARCA
 COTOPAXI,GUANGAJE
 COTOPAXI,LA VICTORIA
 COTOPAXI,PILALO
 COTOPAXI,TINGO
 COTOPAXI,ZUMBAHUA
 COTOPAXI,SAN MIGUEL
 COTOPAXI,ANTONIO JOSE HOLGUIN  (SANTA LUCIA)
 COTOPAXI,CUSUBAMBA
 COTOPAXI,MULALILLO
 COTOPAXI,MULLIQUINDIL (SANTA ANA)
 COTOPAXI,PANSALEO
 COTOPAXI,"SAQUISILI, "
 COTOPAXI,CANCHAGUA
 COTOPAXI,CHANTILIN
 COTOPAXI,COCHAPAMBA
 COTOPAXI,SIGCHOS
 COTOPAXI,CHUGCHILLAN
 COTOPAXI,ISINLIVI
 COTOPAXI,LAS PAMPAS
 COTOPAXI,PALO QUEMADO
CHIMBORAZO,RIOBAMBA
CHIMBORAZO,CACHA (CAB. EN MACHANGARA) 
CHIMBORAZO,CALPI
CHIMBORAZO,CUBIJIES
CHIMBORAZO,FLORES
CHIMBORAZO,LICAN
CHIMBORAZO,LICTO
CHIMBORAZO,PUNGALA
CHIMBORAZO,PUNIN
CHIMBORAZO,QUIMIAG
CHIMBORAZO,SAN JUAN
CHIMBORAZO,SAN LUIS
CHIMBORAZO,ALAUSI
CHIMBORAZO,ACHUPALLAS
CHIMBORAZO,GUASUNTOS
CHIMBORAZO,HUIGRA
CHIMBORAZO,MULTITUD
CHIMBORAZO,PISTISHI (NARIZ DEL DIABLO)
CHIMBORAZO,PUMALLACTA
CHIMBORAZO,SEVILLA
CHIMBORAZO,SIBAMBE
CHIMBORAZO,TIXAN
CHIMBORAZO,VILLA LA UNION (CAJABAMBA)
CHIMBORAZO,CAÑI
CHIMBORAZO,COLUMBE
CHIMBORAZO,JUAN DE VELASCO (PANGOR)
CHIMBORAZO,SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO)
CHIMBORAZO,CHAMBO
CHIMBORAZO,CHUNCHI
CHIMBORAZO,CAPZOL
CHIMBORAZO,COMPUD
CHIMBORAZO,GONZOL
CHIMBORAZO,LLAGOS
CHIMBORAZO,GUAMOTE
CHIMBORAZO,CEBADAS
CHIMBORAZO,PALMIRA
CHIMBORAZO,GUANO
CHIMBORAZO,GUANANDO
CHIMBORAZO,ILAPO
CHIMBORAZO,LA PROVIDENCIA
CHIMBORAZO,SAN ANDRES
CHIMBORAZO,SAN GERARDO DE PACAICAGUAN
CHIMBORAZO,SAN ISIDRO DE PATULU
CHIMBORAZO,SAN JOSE DEL CHAZO
CHIMBORAZO,SANTA FE DE GALAN
CHIMBORAZO,VALPARAISO
CHIMBORAZO,PALLATANGA
CHIMBORAZO,PENIPE
CHIMBORAZO,EL ALTAR
CHIMBORAZO,MATUS
CHIMBORAZO,PUELA
CHIMBORAZO,SAN ANTONIO DE BAYUSHIG
CHIMBORAZO,LA CANDELARIA
CHIMBORAZO,BILBAO (CAB.EN QUILLUYACU)
CHIMBORAZO,CUMANDA
EL ORO,MACHALA
EL ORO,EL RETIRO
EL ORO,ARENILLAS
EL ORO,CHACRAS
EL ORO,PALMALES
EL ORO,CARCABON
EL ORO,PACCHA
EL ORO,AYAPAMBA
EL ORO,CORDONCILLO
EL ORO,MILAGRO
EL ORO,SAN JOSE
EL ORO,SAN JUAN DE CERRO AZUL
EL ORO,BALSAS
EL ORO,BELLAMARIA
EL ORO,CHILLA
EL ORO,EL GUABO
EL ORO,BARBONES (SUCRE) 
EL ORO,LA IBERIA
EL ORO,TENDALES (CAB.EN PUERTO TENDALES)
EL ORO,RIO BONITO
EL ORO,HUAQUILLAS
EL ORO,MARCABELI
EL ORO,EL INGENIO
EL ORO,PASAJE
EL ORO,BUENAVISTA
EL ORO,CASACAY
EL ORO,LA PEAÑA
EL ORO,PROGRESO
EL ORO,UZHCURRUMI
EL ORO,CAÑAQUEMADA 
EL ORO,PIÑAS
EL ORO,CAPIRO (CAB. EN LA CAPILLA DE CAPIRO)
EL ORO,LA BOCANA
EL ORO,MOROMORO (CAB. EN EL VADO)
EL ORO,PIEDRAS
EL ORO,SAN ROQUE (AMBROSIO MALDONADO)
EL ORO,SARACAY
EL ORO,PORTOVELO
EL ORO,CURTINCAPA
EL ORO,MORALES
EL ORO,SALATI
EL ORO,SANTA ROSA
EL ORO,BELLAVISTA
EL ORO,JAMBELI
EL ORO,LA AVANZADA
EL ORO,SAN ANTONIO
EL ORO,TORATA
EL ORO,VICTORIA
EL ORO,BELLAMARIA
EL ORO,ZARUMA
EL ORO,ABAÑIN
EL ORO,ARCAPAMBA
EL ORO,GUANAZAN
EL ORO,GUIZHAGUIÑA
EL ORO,HUERTAS
EL ORO,MALVAS
EL ORO,MULUNCAY GRANDE
EL ORO,SINSAO
EL ORO,SALVIAS
EL ORO,LA VICTORIA
EL ORO,LA LIBERTAD
EL ORO,EL PARAISO 
EL ORO,SAN ISIDRO
ESMERALDAS,ESMERALDAS
ESMERALDAS,CAMARONES (CAB. EN SAN VICENTE) 
ESMERALDAS,CRNEL. CARLOS CONCHA TORRES (CAB.EN HUELE)
ESMERALDAS,CHINCA
ESMERALDAS,MAJUA
ESMERALDAS,SAN MATEO
ESMERALDAS,TABIAZO
ESMERALDAS,TACHINA
ESMERALDAS,VUELTA LARGA
ESMERALDAS,VALDEZ (LIMONES)
ESMERALDAS,ANCHAYACU
ESMERALDAS,ATAHUALPA (CAB. EN CAMARONES) 
ESMERALDAS,BORBON
ESMERALDAS,LA TOLA
ESMERALDAS,LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO)
ESMERALDAS,MALDONADO
ESMERALDAS,PAMPANAL DE BOLIVAR     
ESMERALDAS,SAN FRANCISCO DE ONZOLE
ESMERALDAS,SANTO DOMINGO DE ONZOLE
ESMERALDAS,SELVA ALEGRE
ESMERALDAS,TELEMBI
ESMERALDAS,COLON ELOY DEL MARIA
ESMERALDAS,SAN JOSE DE CAYAPAS
ESMERALDAS,TIMBIRE  
ESMERALDAS,MUISNE
ESMERALDAS,BOLIVAR
ESMERALDAS,DAULE
ESMERALDAS,GALERA
ESMERALDAS,QUINGUE (OLMEDO PERDOMO FRANCO) 
ESMERALDAS,SALIMA
ESMERALDAS,SAN FRANCISCO
ESMERALDAS,SAN GREGORIO
ESMERALDAS,SAN JOSE DE CHAMANGA (CAB.EN CHAMANGA)
ESMERALDAS,ROSA ZARATE (QUININDE)
ESMERALDAS,CUBE
ESMERALDAS,CHURA (CHANCAMA) (CAB. EN EL YERBERO)
ESMERALDAS,MALIMPIA
ESMERALDAS,VICHE
ESMERALDAS,LA UNION
ESMERALDAS,SAN LORENZO
ESMERALDAS,ALTO TAMBO (CAB. EN GUADUAL) 
ESMERALDAS,ANCON (PICHANGAL) (CAB. EN PALMA REAL) 
ESMERALDAS,CALDERON
ESMERALDAS,CARONDELET
ESMERALDAS,5 DE JUNIO (CAB. EN UIMBI) 
ESMERALDAS,CONCEPCION
ESMERALDAS,MATAJE (CAB. EN SANTANDER)
ESMERALDAS,SAN JAVIER DE CACHAVI (CAB. EN SAN JAVIER) 
ESMERALDAS,SANTA RITA
ESMERALDAS,TAMBILLO
ESMERALDAS,TULULBI (CAB. EN RICAURTE)
ESMERALDAS,URBINA
ESMERALDAS,ATACAMES
ESMERALDAS,LA UNION
ESMERALDAS,SUA  (CAB. EN LA BOCANA) 
ESMERALDAS,TONCHIGÜE
ESMERALDAS,TONSUPA
ESMERALDAS,RIOVERDE
ESMERALDAS,CHONTADURO
ESMERALDAS,CHUMUNDE 
ESMERALDAS,LAGARTO
ESMERALDAS,MONTALVO (CAB. EN HORQUETA) 
ESMERALDAS,ROCAFUERTE
ESMERALDAS,LA CONCORDIA
GUAYAS,GUAYAQUIL
GUAYAS,JUAN GOMEZ RENDON (PROGRESO) 
GUAYAS,MORRO
GUAYAS,POSORJA
GUAYAS,PUNA
GUAYAS,TENGUEL
GUAYAS,ALFREDO BAQUERIZO MORENO (JUJAN)
GUAYAS,BALAO
GUAYAS,BALZAR
GUAYAS,COLIMES
GUAYAS,SAN JACINTO
GUAYAS,DAULE
GUAYAS,JUAN BAUTISTA AGUIRRE (LOS TINTOS) 
GUAYAS,LAUREL
GUAYAS,LIMONAL
GUAYAS,LOS LOJAS (ENRIQUE BAQUERIZO MORENO)
GUAYAS,ELOY ALFARO (DURAN)
GUAYAS,VELASCO IBARRA (EL EMPALME)
GUAYAS,GUAYAS (PUEBLO NUEVO) 
GUAYAS,EL ROSARIO
GUAYAS,EL TRIUNFO
GUAYAS,MILAGRO
GUAYAS,CHOBO
GUAYAS,MARISCAL SUCRE (HUAQUES)
GUAYAS,ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA) 
GUAYAS,NARANJAL
GUAYAS,JESUS MARIA
GUAYAS,SAN CARLOS
GUAYAS,SANTA ROSA DE FLANDES
GUAYAS,TAURA
GUAYAS,NARANJITO
GUAYAS,PALESTINA
GUAYAS,PEDRO CARBO
GUAYAS,VALLE DE LA VIRGEN 
GUAYAS,SABANILLA
GUAYAS,SAMBORONDON
GUAYAS,TARIFA
GUAYAS,SANTA LUCIA
GUAYAS,EL SALITRE (LAS RAMAS)
GUAYAS,GRAL. VERNAZA (DOS ESTEROS) 
GUAYAS,LA VICTORIA (ÑAUZA)
GUAYAS,JUNQUILLAL
GUAYAS,SAN JACINTO DE YAGUACHI
GUAYAS,GRAL. PEDRO J. MONTERO (BOLICHE) 
GUAYAS,YAGUACHI VIEJO (CONE)
GUAYAS,VIRGEN DE FATIMA
GUAYAS,GENERAL VILLAMIL (PLAYAS)
GUAYAS,SIMON BOLIVAR
GUAYAS,CRNEL.LORENZO DE GARAICOA (PEDREGAL)
GUAYAS,CORONEL MARCELINO MARIDUEÑA (SAN CARLOS)
GUAYAS,LOMAS DE SARGENTILLO
GUAYAS,NARCISA DE JESUS
GUAYAS,GENERAL ANTONIO ELIZALDE (BUCAY)
GUAYAS,ISIDRO AYORA
IMBABURA,SAN MIGUEL DE IBARRA
IMBABURA,AMBUQUI
IMBABURA,ANGOCHAGUA
IMBABURA,CAROLINA
IMBABURA,LA ESPERANZA
IMBABURA,LITA
IMBABURA,SALINAS
IMBABURA,SAN ANTONIO
IMBABURA,ATUNTAQUI
IMBABURA,IMBAYA (SAN LUIS DE COBUENDO) 
IMBABURA,SAN FRANCISCO DE NATABUELA
IMBABURA,SAN JOSE DE CHALTURA
IMBABURA,SAN ROQUE
IMBABURA,COTACACHI
IMBABURA,APUELA
IMBABURA,GARCIA MORENO  (LLURIMAGUA) 
IMBABURA,IMANTAG
IMBABURA,PEÑAHERRERA
IMBABURA,PLAZA GUTIERREZ
IMBABURA,QUIROGA
IMBABURA,6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE)
IMBABURA,VACAS GALINDO (EL CHURO) (CAB.EN SAN MIGUEL ALTO)
IMBABURA,OTAVALO
IMBABURA,DR. MIGUEL EGAS CABEZAS (PEGUCHE) 
IMBABURA,EUGENIO ESPEJO (CALPAQUI) 
IMBABURA,GONZALEZ SUAREZ
IMBABURA,PATAQUI
IMBABURA,SAN JOSE DE QUICHINCHE 
IMBABURA,SAN JUAN DE ILUMAN
IMBABURA,SAN PABLO
IMBABURA,SAN RAFAEL
IMBABURA,SELVA ALEGRE (CAB.EN SAN MIGUEL DE PAMPLONA)
IMBABURA,PIMAMPIRO
IMBABURA,CHUGA
IMBABURA,MARIANO ACOSTA
IMBABURA,SAN FRANCISCO DE SIGSIPAMBA
IMBABURA,URCUQUI
IMBABURA,CAHUASQUI
IMBABURA,LA MERCED DE BUENOS AIRES
IMBABURA,PABLO ARENAS
IMBABURA,SAN BLAS
IMBABURA,TUMBABIRO
LOJA ,LOJA
LOJA ,CHANTACO
LOJA ,CHUQUIRIBAMBA
LOJA ,EL CISNE
LOJA ,GUALEL
LOJA ,JIMBILLA
LOJA ,MALACATOS (VALLADOLID) 
LOJA ,SAN LUCAS
LOJA ,SAN PEDRO DE VILCABAMBA
LOJA ,SANTIAGO
LOJA ,TAQUIL (MIGUEL RIOFRIO)
LOJA ,VILCABAMBA  (VICTORIA)
LOJA ,YANGANA (ARSENIO CASTILLO)
LOJA ,QUINARA
LOJA ,CARIAMANGA
LOJA ,COLAISACA
LOJA ,EL LUCERO
LOJA ,UTUANA
LOJA ,SANGUILLIN
LOJA ,CATAMAYO (LA TOMA)
LOJA ,EL TAMBO
LOJA ,GUAYQUICHUMA
LOJA ,SAN PEDRO DE LA BENDITA
LOJA ,ZAMBI
LOJA ,CELICA
LOJA ,CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE)
LOJA ,POZUL (SAN JUAN DE POZUL)
LOJA ,SABANILLA
LOJA ,TNTE. MAXIMILIANO RODRIGUEZ LOAIZA 
LOJA ,CHAGUARPAMBA
LOJA ,BUENAVISTA
LOJA ,EL ROSARIO
LOJA ,SANTA RUFINA
LOJA ,AMARILLOS
LOJA ,AMALUZA
LOJA ,BELLAVISTA
LOJA ,JIMBURA
LOJA ,SANTA TERESITA
LOJA ,27 DE ABRIL (CAB. EN LA NARANJA) 
LOJA ,EL INGENIO
LOJA ,EL AIRO
LOJA ,GONZANAMA
LOJA ,CHANGAIMINA (LA LIBERTAD) 
LOJA ,NAMBACOLA
LOJA ,PURUNUMA (EGUIGUREN) 
LOJA ,SACAPALCA
LOJA ,MACARA
LOJA ,LARAMA
LOJA ,LA VICTORIA
LOJA ,SABIANGO (LA CAPILLA)
LOJA ,CATACOCHA
LOJA ,CANGONAMA
LOJA ,GUACHANAMA
LOJA ,LAURO GUERRERO
LOJA ,ORIANGA
LOJA ,SAN ANTONIO
LOJA ,CASANGA
LOJA ,YAMANA
LOJA ,ALAMOR
LOJA ,CIANO
LOJA ,EL ARENAL
LOJA ,EL LIMO (MARIANA DE JESUS)
LOJA ,MERCADILLO
LOJA ,VICENTINO
LOJA ,SARAGURO
LOJA ,EL PARAISO DE CELEN
LOJA ,EL TABLON  
LOJA ,LLUZHAPA
LOJA ,MANU
LOJA ,SAN ANTONIO DE QUMBE (CUMBE)
LOJA ,SAN PABLO DE TENTA
LOJA ,SAN SEBASTIAN DE YULUC
LOJA ,SELVA ALEGRE
LOJA ,URDANETA (PAQUISHAPA)
LOJA ,SUMAYPAMBA
LOJA ,SOZORANGA
LOJA ,NUEVA FATIMA
LOJA ,TACAMOROS
LOJA ,ZAPOTILLO
LOJA ,CAZADEROS (CAB.EN MANGAURCO) 
LOJA ,GARZAREAL
LOJA ,LIMONES
LOJA ,PALETILLAS
LOJA ,BOLASPAMBA
LOJA ,PINDAL
LOJA ,CHAQUINAL
LOJA ,12 DE DICIEMBRE (CAB.EN ACHIOTES)
LOJA ,QUILANGA
LOJA ,FUNDOCHAMBA
LOJA ,SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)
LOJA ,OLMEDO
LOJA ,LA TINGUE
LOS RIOS,BABAHOYO
LOS RIOS,CARACOL
LOS RIOS,FEBRES CORDERO (LAS JUNTAS) (CAB. EN MATA DE CACAO)
LOS RIOS,PIMOCHA
LOS RIOS,LA UNION
LOS RIOS,BABA
LOS RIOS,GUARE
LOS RIOS,ISLA DE BEJUCAL
LOS RIOS,MONTALVO
LOS RIOS,PUEBLOVIEJO
LOS RIOS,PUERTO PECHICHE
LOS RIOS,SAN JUAN
LOS RIOS,QUEVEDO
LOS RIOS,SAN CARLOS
LOS RIOS,LA ESPERANZA
LOS RIOS,CATARAMA
LOS RIOS,RICAURTE
LOS RIOS,VENTANAS
LOS RIOS,ZAPOTAL
LOS RIOS,VINCES
LOS RIOS,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES) 
LOS RIOS,PALENQUE
LOS RIOS,SAN JACINTO DE BUENA FE
LOS RIOS,PATRICIA PILAR
LOS RIOS,VALENCIA
LOS RIOS,MOCACHE
LOS RIOS,QUINSALOMA
MANABI,PORTOVIEJO
MANABI,ABDON CALDERON (SAN FRANCISCO)
MANABI,ALHAJUELA (BAJO GRANDE) 
MANABI,CRUCITA
MANABI,PUEBLO NUEVO
MANABI,RIOCHICO (RIO CHICO)
MANABI,SAN PLACIDO
MANABI,CHIRIJOS
MANABI,CALCETA
MANABI,MEMBRILLO
MANABI,QUIROGA
MANABI,CHONE
MANABI,BOYACA
MANABI,CANUTO
MANABI,CONVENTO
MANABI,CHIBUNGA
MANABI,ELOY ALFARO
MANABI,RICAURTE
MANABI,SAN ANTONIO
MANABI,EL CARMEN
MANABI,WILFRIDO LOOR MOREIRA (MAICITO)
MANABI,SAN PEDRO DE SUMA
MANABI,FLAVIO ALFARO
MANABI,SAN FRANCISCO DE NOVILLO (CAB. EN  NOVILLO)
MANABI,ZAPALLO
MANABI,JIPIJAPA
MANABI,AMERICA
MANABI,EL ANEGADO (CAB. EN ELOY ALFARO)
MANABI,JULCUY
MANABI,LA UNION
MANABI,MEMBRILLAL
MANABI,PEDRO PABLO GOMEZ
MANABI,PUERTO DE CAYO
MANABI,JUNIN
MANABI,MANTA
MANABI,SAN LORENZO
MANABI,SANTA MARIANITA (BOCA DE PACOCHE)
MANABI,MONTECRISTI
MANABI,LA PILA
MANABI,PAJAN
MANABI,CAMPOZANO (LA PALMA DE PAJAN)
MANABI,CASCOL
MANABI,GUALE
MANABI,LASCANO
MANABI,PICHINCHA
MANABI,BARRAGANETE 
MANABI,SAN SEBASTIAN
MANABI,ROCAFUERTE
MANABI,SANTA ANA DE VUELTA LARGA
MANABI,AYACUCHO
MANABI,HONORATO VASQUEZ (CAB. EN VASQUEZ)
MANABI,LA UNION
MANABI,SAN PABLO (CAB. EN PUEBLO NUEVO)
MANABI,BAHIA DE CARAQUEZ
MANABI,CHARAPOTO
MANABI,SAN ISIDRO
MANABI,TOSAGUA
MANABI,BACHILLERO
MANABI,ANGEL PEDRO GILER (LA ESTANCILLA)
MANABI,SUCRE
MANABI,BELLAVISTA
MANABI,NOBOA
MANABI,ARQ. SIXTO DURAN BALLEN
MANABI,PEDERNALES
MANABI,COJIMIES
MANABI,10 DE AGOSTO
MANABI,ATAHUALPA
MANABI,OLMEDO
MANABI,PUERTO LOPEZ
MANABI,MACHALILLA
MANABI,SALANGO
MANABI,JAMA
MANABI,JARAMIJO
MANABI,SAN VICENTE
MANABI,CANOA
 MORONA SANTIAGO,MACAS
 MORONA SANTIAGO,ALSHI (CAB. EN 9 DE OCTUBRE) 
 MORONA SANTIAGO,GENERAL PROAÑO
 MORONA SANTIAGO,SAN ISIDRO
 MORONA SANTIAGO,SEVILLA DON BOSCO
 MORONA SANTIAGO,SINAI
 MORONA SANTIAGO,ZUÑA (ZUÑAC)
 MORONA SANTIAGO,CUCHAENTZA
 MORONA SANTIAGO,RIO BLANCO
 MORONA SANTIAGO,GUALAQUIZA
 MORONA SANTIAGO,AMAZONAS (ROSARIO DE CUYES) 
 MORONA SANTIAGO,BERMEJOS
 MORONA SANTIAGO,BOMBOIZA
 MORONA SANTIAGO,CHIGÜINDA
 MORONA SANTIAGO,EL ROSARIO
 MORONA SANTIAGO,NUEVA TARQUI
 MORONA SANTIAGO,SAN MIGUEL DE CUYES
 MORONA SANTIAGO,EL IDEAL
 MORONA SANTIAGO,GENERAL LEONIDAS PLAZA GUTIERREZ (LIMON)
 MORONA SANTIAGO,INDANZA
 MORONA SANTIAGO,SAN ANTONIO (CAB. EN SAN ANTONIO CENTRO
 MORONA SANTIAGO,SAN MIGUEL DE CONCHAY
 MORONA SANTIAGO,SANTA SUSANA DE CHIVIAZA (CAB. EN CHIVIAZA)
 MORONA SANTIAGO,YUNGANZA (CAB. EN EL ROSARIO)
 MORONA SANTIAGO,PALORA (METZERA)
 MORONA SANTIAGO,ARAPICOS
 MORONA SANTIAGO,CUMANDA (CAB. EN COLONIA AGRICOLA SEVILLA DEL ORO)
 MORONA SANTIAGO,SANGAY (CAB. EN NAYAMANACA)
 MORONA SANTIAGO,16 DE AGOSTO
 MORONA SANTIAGO,SANTIAGO DE MENDEZ
 MORONA SANTIAGO,COPAL
 MORONA SANTIAGO,CHUPIANZA
 MORONA SANTIAGO,PATUCA
 MORONA SANTIAGO,SAN LUIS DE EL ACHO (CAB. EN EL ACHO) 
 MORONA SANTIAGO,TAYUZA
 MORONA SANTIAGO,SAN FRANCISCO DE CHINIMBIMI
 MORONA SANTIAGO,SUCUA
 MORONA SANTIAGO,ASUNCION
 MORONA SANTIAGO,HUAMBI
 MORONA SANTIAGO,SANTA MARIANITA DE JESUS
 MORONA SANTIAGO,HUAMBOYA
 MORONA SANTIAGO,CHIGUAZA
 MORONA SANTIAGO,SAN JUAN BOSCO
 MORONA SANTIAGO,PAN DE AZUCAR
 MORONA SANTIAGO,SAN CARLOS DE LIMON  
 MORONA SANTIAGO,SAN JACINTO DE WAKAMBEIS 
 MORONA SANTIAGO,SANTIAGO DE PANANZA
 MORONA SANTIAGO,TAISHA
 MORONA SANTIAGO,HUASAGA (CAB. EN WAMPUIK) 
